Timestamp,Interface,DownloadSpeed (B/s),UploadSpeed (B/s)
2024-11-16T14:12:50.1746372-06:00,Radmin VPN,0,1804
2024-11-16T14:12:51.2102028-06:00,Radmin VPN,0,92
2024-11-16T14:12:52.2348597-06:00,Radmin VPN,0,1804
2024-11-16T14:12:53.2578044-06:00,Radmin VPN,0,92
2024-11-16T14:12:54.2841405-06:00,Radmin VPN,0,92
2024-11-16T14:12:55.3117388-06:00,Radmin VPN,0,147
2024-11-16T14:12:56.3380871-06:00,Radmin VPN,0,1804
2024-11-16T14:12:57.3666906-06:00,Radmin VPN,0,92
2024-11-16T14:12:58.3924894-06:00,Radmin VPN,0,92
2024-11-16T14:12:59.4182969-06:00,Radmin VPN,0,92
